name,parliamentary_constituency,latt_long,network,county,region,needs
Salma,Warley,"52.505032,-1.996827",Independent,West Midlands,West Midlands,
Flintshire,Delyn,"53.178005,-3.137481",Trussell Trust,Wales,Wales,
Brighton,"Brighton, Pavilion","50.833781,-0.137498",Trussell Trust,East Sussex,South East,
CHAT,Tiverton and Honiton,"50.902275,-3.487321",Independent,Devon,South West,
Exeter,Exeter,"50.721512,-3.534277",Trussell Trust,Devon,South West,
Stanwell,Spelthorne,"51.452587,-0.470391",Independent,Berkshire,South East,
Mid Cheshire,Eddisbury,"53.1864425,-2.5575543",Trussell Trust,Cheshire,West Midlands,"['Jam', 'Long Life Fruit Juice', 'Tinned Fruit', 'Desserts - Jelly, Rice Pudding', ""Tea Bags (Especially 80's)"", 'Custard', 'Tinned/mashed Potatoes', 'Savoury Sandwich Spreads']"
Deepings,South Holland and The Deepings,"52.6747309,-0.2964169",Trussell Trust,Cambridgeshire,East,
Bradford Central,Bradford West,"53.796053,-1.746655",Trussell Trust,West Yorkshire,Yorkshire & Humber,"['Cereals', 'Puddings', 'Long Life Juice', 'UHT Milk', 'Pulses', 'Biscuits', 'Jam', 'Soup', 'Beans', 'Fish']"
Brent,Brent Central,"51.549421,-0.248762",Trussell Trust,Greater London,London,"['Tinned Meat', 'Tinned Fish', 'Long Life Milk (Skimmed & Whole)', 'Tinned Veg', 'Tinned Fruit', 'Pasta Sauce', 'Jams & Spreads', 'Rice Pudding/custard', 'All Toiletries (Including Toilet Roll)']"
Winchester Basics Bank,Winchester,"51.05636,-1.30375",Independent,Hampshire,South East,
Levenmouth,Glenrothes,"56.18502,-3.014059",Trussell Trust,Scotland,Scotland,
East Yorkshire,Beverley and Holderness,"53.8440652,-0.4245719",Trussell Trust,East Riding of Yorkshire,Yorkshire & Humber,
Pontypridd,Pontypridd,"51.581551,-3.312374",Trussell Trust,Wales,Wales,
Sufra NW London,Brent Central,"51.548867,-0.266144",Independent,Greater London,London,
Whitchurch,North Shropshire,"52.975275,-2.689308",Trussell Trust,Cheshire,West Midlands,"['Jars Of Coffee (Large And Small)', 'Tins Of Custard', 'Pot Noodles', 'Packets Of Mashed Potato', 'Tins Of Fruit', 'Jars Of Jam', 'Sponge Puddings', 'Long-life Orange Juice', 'Long-life Milk', 'Porridge', 'Tins Of Rice Pudding', 'Jars Of Fish/meat Paste', 'Cream Crackers', 'Washing-up Liquid', 'Washing Powder/liquid']"
Chelmsford,Chelmsford,"51.742499,0.500628",Trussell Trust,Essex,East,
Mosaic,Leicester West,"52.619602,-1.153769",IFAN,Leicestershire,East Midlands,
The Community,Spelthorne,"51.421354,-0.419979",Independent,Surrey,South East,
Manna (Hatfield),Welwyn Hatfield,"51.763786,-0.226751",IFAN,Hertfordshire,East,
South Tyneside,South Shields,"54.984709,-1.430996",Trussell Trust,Tyne and Wear,North East,
Downham Market,South West Norfolk,"52.5995,0.3663512",Trussell Trust,Norfolk,East,
Jubilee Storehouse,Ceredigion,"52.399685,-4.071104",IFAN,Wales,Wales,"['Tinned Stew', 'Tinned Curry', 'Spaghetti Hoops', 'Twix, Mars Or Snickers Chocolate Bars', 'Shampoo/conditioner', 'Toothbrushes', 'Toothpaste', 'Easter Eggs', 'Sweets', 'Tinned Ravioli', 'Tinned Spaghetti Bolognese', 'And Shampoo', 'Shower Gel', 'Toothbrushes', 'Toothpaste']"
Mission Trinity,Brigg and Goole,"53.702148,-0.870773",IFAN,East Riding of Yorkshire,Yorkshire & Humber,
Compassion,Manchester Central,"53.45811,-2.242144",IFAN,Greater Manchester,North West,
York,York Outer,"53.989734,-1.09873",Trussell Trust,North Yorkshire,Yorkshire & Humber,"['Tinned Fruit', 'Tinned Tomatoes', 'Tinned Veg / Pulses', 'UHT Milk', 'Bags For Life', 'Laundry Detergent', 'Sponge Puddings (Cupboard/tinned)', ""Ladies And Men's Deodorant""]"
S20,Sheffield South East,"53.321319,-1.359752",IFAN,South Yorkshire,Yorkshire & Humber,
Blackpool,Blackpool North and Cleveleys,"53.821838,-3.052736",IFAN,Lancashire,North West,
St Augustine's,Beverley and Holderness,"53.741356,-0.200509",Independent,East Riding of Yorkshire,Yorkshire & Humber,
Fallowfield & Withington,"Manchester, Gorton","53.442077,-2.223191",Trussell Trust,Greater Manchester,North West,"['UHT Milk', 'Fruit Juice And Squash', 'Tinned Fish', 'Tinned Tomatoes', 'Tinned Meat', ""All Toiletries, Men's And Women's"", 'Coffee - Preferably Small Jars', 'Rice', 'Cereal']"
St Ives (Cornwall),St Ives,"50.207182,-5.497304",Independent,Cornwall,South West,
Beaminster,West Dorset,"50.808089,-2.737768",Independent,Dorset,South West,
PANTRY,Neath,"51.721793,-3.8491",IFAN,Wales,Wales,
Chapters,Ilford South,"51.566596,0.108731",IFAN,Greater London,London,
Sandbach,Congleton,"53.144915,-2.365649",IFAN,Cheshire,West Midlands,
Telford,Telford,"52.630251,-2.440888",Independent,Shropshire,West Midlands,
Hangleton & West Blatchington,Hove,"50.846445,-0.182635",Independent,East Sussex,South East,
Weston-super-Mare,Weston-Super-Mare,"51.349264,-2.978085",Trussell Trust,Somerset,South West,
Edinburgh City Mission,Edinburgh South West,"55.937576,-3.22349",IFAN,Scotland,Scotland,
Loaves & Fishes,"East Kilbride, Strathaven and Lesmahagow","55.747206,-4.170545",IFAN,Scotland,Scotland,"['Packet – Pasta & Sauce', 'Packet – Savoury Rice', 'Super Noodles -Instant Noodles', 'Instant Mashed Potatoes', 'Pot Noodle', 'UHT Milk', 'Coffee', 'UHT Juice', 'Diluting Juice', 'Jam', 'Cat Food – Dry And Wet', 'Dog Food – Dry And Wet', 'Biscuits – All', 'Stock Cubes – All Flavours', 'Gravy Granules', 'Sugar', 'Pasta Sauce', 'Tinned Meat – Hotdogs, Meatballs, Tuna Fish', 'Tinned Vegetables – Peas, Carrots, Potatoes, Sweet Corn, Green Beans', 'Dried Pulses- Red Lentils, Scotch Broth Mix', 'Soup', 'Spaghetti Hoops', 'Baked Beans', 'Cup Of Soup', 'Tinned Meals – Beans & Sausage, Chili Con Carne, Tinned Curry Meal, Macaroni And Cheese, Ravioli', 'Hartley’s Jelly Tablets', 'Cereal – All Including Porridge', 'Deodorant – All Kinds', 'Children Shampoo', 'Children Bath Soap', 'Baby Bath/shampoo', 'Razors – 4pk', 'Shampoo – Mens And Womens', 'Shower Gel', 'Liquid Soap', 'Bar Soap', 'Baby Wipes', 'Toilet Roll', 'Kitchen Roll', 'Laundry Tablets', 'Washing Up Liquid', 'Cleaning Sprays (Not Bleach)']"
Brandlesholme,Bury North,"53.608687,-2.313602",Independent,Greater Manchester,North West,
LW Storehouse,Chorley,"53.64939400000001,-2.63012",Independent,Lancashire,North West,
Middlesbrough,Redcar,"54.571577,-1.182977",Trussell Trust,North Yorkshire,Yorkshire & Humber,
West Cheshire,Ellesmere Port and Neston,"53.269785,-2.871856",Trussell Trust,Cheshire,West Midlands,"['Tinned Vegetables', 'Tinned Tomatoes', 'UHT Milk', 'UHT Juice', 'Cereal Bars', 'Tinned Fruit /. Puddings', 'Instant Coffee Small Jars', 'Jams And Spreads', 'Instant Mash / Tinned Potatoes', 'Sweet Treats / Crisps', 'Instant Pasta / Instant Noodles', 'Custard', 'Tinned Meat / Fish', 'Tinned Vegetables', 'Tinned Potatoes', 'Tinned Tomatoes', 'Cuppa Soups', 'Pot Noodles/super Noodles', 'Instant Pasta (Pasta And Sauce)', 'Pasta Sauce', 'Instant Mashed Potato', 'Tinned / Instant Custard', 'Tinned Fruit', 'Biscuits', 'UHT Milk', 'UHT Fruit Juice', 'Instant Coffee', 'Tinned Vegetables', 'Tinned Tomatoes', 'UHT Milk', 'UHT Juice', 'Cereal Bars', 'Custard', 'Instant Coffee Small Jars', 'Jams And Spreads', 'Instant Mash / Tinned Potatoes', 'Sweet Treats / Crisps', 'Instant Pasta / Instant Noodles', 'Carrier Bags', 'Tinned Meat / Fish', 'Tinned Vegetables', 'Tinned Potatoes', 'Tinned Tomatoes', 'Cuppa Soups', 'Pot Noodles/super Noodles', 'Instant Pasta (Pasta And Sauce)', 'Pasta Sauce', 'Instant Mashed Potato', 'Tinned / Instant Custard', 'Tinned Fruit', 'Biscuits', 'UHT Milk', 'UHT Fruit Juice', 'Instant Coffee', 'Tinned Meats', 'Tinned Tomatoes', 'UHT Milk', 'UHT Juice', 'Tinned Desserts', 'Custard', 'Instant Coffee Small Jars', 'Jams And Spreads', 'Instant Mash / Tinned Potatoes', 'Sweet Treats / Crisps', 'Instant Pasta / Instant Noodles', 'Carrier Bags', 'Tinned Meat / Fish', 'Tinned Vegetables', 'Tinned Potatoes', 'Tinned Tomatoes', 'Cuppa Soups', 'Pot Noodles/super Noodles', 'Instant Pasta (Pasta And Sauce)', 'Pasta Sauce', 'Instant Mashed Potato', 'Tinned / Instant Custard', 'Tinned Fruit', 'Biscuits', 'UHT Milk', 'UHT Fruit Juice', 'Instant Coffee', 'Tinned Meats', 'Tinned Tomatoes', 'UHT Milk', 'UHT Juice', 'Tinned Desserts', 'Custard', 'Instant Coffee Small Jars', 'Jams And Spreads', 'Instant Mash / Tinned Potatoes', 'Cereal Bars', 'Sweet Treats', 'Instant Pasta / Instant Noodles', 'Tinned Meat / Fish', 'Tinned Vegetables', 'Tinned Potatoes', 'Tinned Tomatoes', 'Cuppa Soups', 'Pot Noodles/super Noodles', 'Instant Pasta (Pasta And Sauce)', 'Pasta Sauce', 'Instant Mashed Potato', 'Tinned / Instant Custard', 'Tinned Fruit', 'Biscuits', 'UHT Milk', 'UHT Fruit Juice', 'Instant Coffee']"
Cafe 43 - House of Bread,Stafford,"52.813166,-2.119729",IFAN,Staffordshire,West Midlands,
"Clyde, Avon & Nethan",Lanark and Hamilton East,"55.738218,-3.973183",Trussell Trust,Scotland,Scotland,
Washington Community,Washington and Sunderland West,"54.899583,-1.532511",IFAN,Tyne and Wear,North East,
Windermere & District,Westmorland and Lonsdale,"54.378912,-2.906597",Trussell Trust,Cumbria,North West,
Plympton,South West Devon,"50.387111,-4.059753",Trussell Trust,Devon,South West,
Barnsley,Barnsley East,"53.533241,-1.413575",Trussell Trust,South Yorkshire,Yorkshire & Humber,"['Long Life Milk', 'Dilute/juice', 'Pasta Sauce', 'Packet/instant Potato', 'Tinned Potatoes', 'Rice Pudding', 'Biscuits', 'Toothpaste', 'Toothbrushes', 'Shower Gel', 'Shampoo', 'Long Life Milk', 'Dilute/juice', 'Tinned Meat', 'Pasta Sauce', 'Packet/instant Potato', 'Tinned Potatoes', 'Rice Pudding', 'Toothpaste', 'Toothbrushes', 'Shampoo']"
Billingham & Stockton Borough,Stockton North,"54.607237,-1.294445",Trussell Trust,North Yorkshire,Yorkshire & Humber,
Rutland,Rutland and Melton,"52.6708289,-0.7335527",Trussell Trust,Leicestershire,East Midlands,
Grace,"Sheffield, Heeley","53.32061,-1.491058",IFAN,South Yorkshire,Yorkshire & Humber,"['Plain White Rice/microwave Rice', 'Jars Of Pasta Sauce', 'Tinned Tomatoes', 'Biscuits', 'Chocolate/sweet Treats', 'Shower Gel', 'Shampoo', 'Washing Up Liquid', 'Easter Eggs']"
Newcastle East,Newcastle upon Tyne East,"54.979025,-1.580118",Trussell Trust,Tyne and Wear,North East,
Handsworth Birmingham,"Birmingham, Ladywood","52.504878,-1.944445",Trussell Trust,West Midlands,West Midlands,
Northfield,"Birmingham, Northfield","52.4172782,-1.9688592",Independent,West Midlands,West Midlands,
Isle of Man,,"54.1698041,-4.4987848",Independent,Isle of Man,Isle of Man,
Cannock & District,Cannock Chase,"52.71783660000001,-2.0221927",Trussell Trust,Staffordshire,West Midlands,
Manchester South Central,Manchester Central,"53.467881,-2.255352",Trussell Trust,Greater Manchester,North West,
Kettering District,Kettering,"52.400567,-0.726613",Trussell Trust,Northamptonshire,East Midlands,
Ramsey,North West Cambridgeshire,"52.449685,-0.101836",Trussell Trust,Cambridgeshire,East,
Bethlehem House Of Bread,"Cumbernauld, Kilsyth and Kirkintilloch East","55.946228,-3.989966",IFAN,Scotland,Scotland,
Sheffield S6,Sheffield Central,"53.392508,-1.484021",Trussell Trust,South Yorkshire,Yorkshire & Humber,
AY Group,Chelsea and Fulham,"51.485679,-0.201106",IFAN,Greater London,London,
Stratford Upon Avon,Stratford-on-Avon,"52.188475,-1.709143",Trussell Trust,Warwickshire,West Midlands,"['Toilet Roll', 'Fruit Juice', 'UHT Milk (Whole & Semi Skimmed)', 'Rice Puding', 'Instant Coffee', 'Instant Mash', 'Tinned Potatoes', 'Tinned Vegetables', 'Beef & Chicken Tinned Curry', 'Vegetarian Tinned Meals; Ravioli, Mac Cheese, Veg Cury', 'Toothbrushes', 'Shampoo & Conditioner', 'Shower Gel', 'Deodrant', 'Washing Detergent [Small Sizes]', 'Washing Up Liquid', 'Cleaning Products']"
West Somerset Food Cupboard,Bridgwater and West Somerset,"51.196009,-3.466319",Independent,Somerset,South West,
Holbeck,Leeds Central,"53.78174,-1.560452",Independent,West Yorkshire,Yorkshire & Humber,
Caithness,"Caithness, Sutherland and Easter Ross","58.594524,-3.522128",Trussell Trust,Scotland,Scotland,"['Tinned Fruit (400gms)', 'Jam/marmalade', 'Crackers', 'Size 4,5 And 6 Nappies', 'Sugar', 'Tinned Cold Meat']"
Wetherby & District,Elmet and Rothwell,"53.909292,-1.318729",Trussell Trust,West Yorkshire,Yorkshire & Humber,
Kintyre,Argyll and Bute,"55.428473,-5.611816",Independent,Scotland,Scotland,
Arfon,Arfon,"53.140419,-4.249702",Trussell Trust,Wales,Wales,
Rotherham,Rotherham,"53.427572,-1.356155",Trussell Trust,South Yorkshire,Yorkshire & Humber,
The Kings Storehouse,Vale of Clwyd,"53.316142,-3.480079",IFAN,Wales,Wales,
Bristol North,Bristol North West,"51.4941194,-2.5749741",Trussell Trust,Bristol,South West,
AFECC,Glasgow South,"55.834501,-4.261018",IFAN,Scotland,Scotland,
Callington,South East Cornwall,"50.5060916,-4.3135417",Trussell Trust,Cornwall,South West,"['Washing Powder/tabs/liquid For Clothes', 'Tinned Cooked Meat (Ie Chilli Con Carne/curries/meatballs)', 'Sponge Puddings', 'Mens Razors', 'Ladies Razors', 'Mens Spray Deodorant', 'Dog Food (Mixer & Dry Complete)', 'Lunchbox Items (Chocolate)', 'Packet Dried Mashed Potato', 'Kitchen Roll', 'Toilet Roll', 'Cup-a-soups', 'Shampoo & Conditioner', 'Gluten Free Items', 'Vegetarian Items', 'Washing Powder/tabs/liquid For Clothes', 'Tinned Cooked Meat (Ie Chilli Con Carne/curries/meatballs)', 'Sponge Puddings', 'Mens Razors', 'Ladies Razors', 'Mens Spray Deodorant', 'Ladies Spray Deodorant', 'Dog Food (Mixer & Dry Complete)', 'Lunchbox Items (Chocolate)', 'Packet Dried Mashed Potato', 'Tinned Veg (Sweetcorn, Carrots, Peas)', 'Kitchen Roll', 'Cup-a-soups', 'Shampoo & Conditioner']"
Eastern Valley,Torfaen,"51.710115,-3.051487",Trussell Trust,Wales,Wales,
Feedo Needo,"Birmingham, Ladywood","52.475966,-1.890905",Independent,West Midlands,West Midlands,
Holy Trinity,Hornsey and Wood Green,"51.57581,-0.110713",IFAN,Greater London,London,
Falkirk,Falkirk,"55.998743,-3.824621",Trussell Trust,Scotland,Scotland,
Coventry,Coventry South,"52.394165,-1.437791",Trussell Trust,West Midlands,West Midlands,"['Tinned Vegetables', 'Tinned Fruit', 'Tinned Potatoes', 'Instant Mash', 'Quick Cook Noodles', 'Easter Eggs', 'Juice/squash', 'Pasta/cooking Sauces', 'Tinned Fish', 'UHT Milk', 'Easter Eggs']"
Cobham Area,Esher and Walton,"51.325673,-0.411256",Trussell Trust,Surrey,South East,
Clacton,Clacton,"51.792037,1.147967",Trussell Trust,Essex,East,
FC United,Manchester Central,"53.516384,-2.181159",Independent,Greater Manchester,North West,
Lutterworth and Villages,South Leicestershire,"52.455337,-1.202084",Trussell Trust,Leicestershire,East Midlands,
Time for the Homeless,Rochester and Strood,"51.459159,0.501032",IFAN,Kent,South East,
Southend,Rochford and Southend East,"51.540196,0.729047",Trussell Trust,Essex,East,"['Meat Meals – Tinned Curry, Chili Con Carne, Chicken In Sauce, Tinned Pie', 'Tinned Vegetables', 'Jam', 'UHT Milk - Full Fat Or Semi Skimmed', 'Long Life Fruit Juice Or Squash', 'Strong Carrier Bags', 'UHT Milk', 'Long Life Sponge Puddings', 'Instant Mash, Instant Noodles', 'Long Life Fruit Juice Or Squash', 'Extras For The Holiday - Crisps, Popcorn, Snack', 'Strong Carrier Bags']"
Lalley Centre,Blackley and Broughton,"53.497795,-2.223635",Independent,Greater Manchester,North West,
North Enfield,Edmonton,"51.643935,-0.058613",Trussell Trust,Greater London,London,"['Carrier Bags', 'Long Life Milk', 'Tinned Chicken / Beef', 'Tinned Tomatoes', 'Tinned Fish', 'Noodles', 'Small Coffee Jars', 'Hot Chocolate', 'Jam', 'Rice Pudding / Custard', 'Savoury Snacks', 'Biscuits', 'Sweet Snacks', 'Sugar', 'Toiletries']"
Muswell Hill,Chipping Barnet,"51.604696,-0.145805",Trussell Trust,Greater London,London,
Glasgow SE,Glasgow Central,"55.840601,-4.25773",Trussell Trust,Scotland,Scotland,"['Cereal', 'Pasta Sauce', 'Custard', 'Soap', 'Toothpaste', 'UHT Milk', 'Tinned Meat', 'Cereal', 'Pasta Sauce', 'Custard', 'Soap', 'Toothpaste', 'UHT Milk']"
Woking,Woking,"51.318734,-0.557491",Trussell Trust,Surrey,South East,"['Long Life Whole Milk', 'Cooking Oil', 'Long Life Fruit Juice', 'Crisps', 'Long Life Sponge Puddings', 'Washing Detergent (Small)', 'Chocolate Spread', 'Dried Noodles', 'Peanut Butter', 'Brown Sauce', 'Tomato Sauce', 'Tinned Fruit', 'Washing Up Liquid', 'Toilet Paper', 'Nappies Size 5']"
Harold Hill,Hornchurch and Upminster,"51.598182,0.219803",Trussell Trust,Greater London,London,
Dunbar Basics,East Lothian,"56.000926,-2.515305",IFAN,Scotland,Scotland,
Canaan Trust,Erewash,"52.8946247,-1.265781",IFAN,Derbyshire,West Midlands,
Edinburgh NE,Edinburgh North and Leith,"55.97202,-3.17271",Trussell Trust,Scotland,Scotland,
Saltash,South East Cornwall,"50.409543,-4.21369",Trussell Trust,Cornwall,South West,
Porch Boxes,Bury South,"53.572099,-2.36031",IFAN,Greater Manchester,North West,
Stockport,Hazel Grove,"53.378179,-2.122247",Trussell Trust,Greater Manchester,North West,
Purley,Croydon South,"51.339555,-0.115677",IFAN,Greater London,London,"['Small Jars Of Jam And Honey', 'Tinned Tomatoes', 'Small Packets Of Dried Potato', 'Tinned And Packet Soup.', 'Small Bottles Of Squash', 'Puddings / Jellies / Angel Delight', 'Tinned Rice Pudding', 'Unisex Shampoo', 'Washing Powder Tablets']"
West Bromwich,West Bromwich East,"52.518376,-1.997598",Independent,West Midlands,West Midlands,
Weymouth,South Dorset,"50.60796,-2.451212",Independent,Dorset,South West,
Leominster,North Herefordshire,"52.22989,-2.736135",IFAN,Herefordshire,West Midlands,
South Liverpool,Garston and Halewood,"53.366356,-2.8961",Trussell Trust,Merseyside,North West,"['Long-life Milk', 'Tinned Fruit', 'Long-life Juice Or Squash', 'Tinned Fish', 'Tinned Tomatoes', 'Coffee - Small Jars', 'Tinned Potatoes Or Instant Mash', 'Deodorant (For Men And Women)', 'Toothpaste', 'Sponge Puddings']"
Nourish Community,Tunbridge Wells,"51.135444,0.264881",Independent,Kent,South East,
Lifeshare (Llanelli),Llanelli,"51.672944,-4.161875",Independent,Wales,Wales,
St Peter's Brockley,"Lewisham, Deptford","51.464391,-0.031386",Independent,Greater London,London,
Meon Valley,Meon Valley,"50.954121,-1.214987",IFAN,Hampshire,South East,
My 2nd Chance,"Lewisham, Deptford","51.476064,-0.04749",IFAN,Greater London,London,
Ludlow,Ludlow,"52.369779,-2.705162",IFAN,Herefordshire,West Midlands,
St Helier,,"49.1877799,-2.1038669",Independent,Jersey,,
Somebody Cares,Aberdeen South,"57.127896,-2.081993",Independent,Scotland,Scotland,
Fylde,Fylde,"53.752413,-3.031553",Trussell Trust,Lancashire,North West,"['Full-fat Long-life Milk', 'Semi-skimmed Long Life Milk', 'Tinned Fish - Tuna', 'Tinned Fruit', 'Tinned Vegetables', 'Shopping Bags', 'Full-fat Long-life Milk', 'Semi-skimmed Long Life Milk', 'Tinned Fish - Tuna', 'Tinned Fruit', 'Tinned Vegetables']"
Godalming & Villages Community Store,South West Surrey,"51.185928,-0.611956",Independent,Surrey,South East,
Boston,Boston and Skegness,"52.979046,-0.025895",Trussell Trust,Lincolnshire,Yorkshire & Humber,
The River,Manchester Central,"53.472591,-2.162034",IFAN,Greater Manchester,North West,
Holme Valley,Colne Valley,"53.57262979999999,-1.7859536",Independent,West Yorkshire,Yorkshire & Humber,
Duns,"Berwickshire, Roxburgh and Selkirk","55.777646,-2.342863",IFAN,Scotland,Scotland,
Hounslow Community FoodBox,Brentford and Isleworth,"51.481329,-0.319472",Independent,Greater London,London,
Hull,Kingston upon Hull West and Hessle,"53.745463,-0.341291",Trussell Trust,East Riding of Yorkshire,Yorkshire & Humber,"['Tinned Fruit', 'Tinned Tomatoes', 'Long Life Milk', 'Rice Pudding', 'Tinned Meat']"
Clydesdale,Lanark and Hamilton East,"55.734335,-3.838908",IFAN,Scotland,Scotland,
Banc Bwyd Pwllheli,Dwyfor Meirionnydd,"52.890277,-4.417636",Independent,Wales,Wales,
Fusion,Huddersfield,"53.647211,-1.782322",IFAN,West Yorkshire,Yorkshire & Humber,
Largs,North Ayrshire and Arran,"55.793816,-4.870468",IFAN,Scotland,Scotland,
Vale,Vale of Glamorgan,"51.418728,-3.274483",Trussell Trust,Wales,Wales,
Cheddar Valley,Wells,"51.279208,-2.777708",Trussell Trust,Somerset,South West,
Cheltenham,Cheltenham,"51.90155,-2.087624",Trussell Trust,Gloucestershire,South West,"['Mens Deodrant', 'Toothbrushes', 'Tinned Tomatoes', 'Instant Noodles And Instant Rice', 'Long Life Milk', 'Washing Up Liquid', 'Sponge Puddings/ Packet Desserts', 'Long Life Fruit Juice', 'Mens Deodorant', 'Toothbrushes', 'Tinned Tomatoes', 'Noodles', 'Long Life Milk', 'Washing Up Liquid', 'Sponge Puddings/ Packet Desserts', 'Long Life Fruit Juice']"
Trafford South,Altrincham and Sale West,"53.40329,-2.353799",Trussell Trust,Cheshire,West Midlands,
Newham District,West Ham,"51.5112398,0.03734710000000001",Trussell Trust,Greater London,London,
Bangor Cathedral,Arfon,"53.226363,-4.126824",IFAN,Wales,Wales,
Abergele District,Clwyd West,"53.2843873,-3.5796928",Trussell Trust,Wales,Wales,
Southbourne,Bournemouth East,"50.725422,-1.808448",IFAN,Dorset,South West,
Handsworth,Sheffield South East,"53.370511,-1.388443",Trussell Trust,South Yorkshire,Yorkshire & Humber,
Dagenham,Dagenham and Rainham,"51.528899,0.154669",Trussell Trust,Greater London,London,
Buckfastleigh,Central Devon,"50.480843,-3.778518",Trussell Trust,Devon,South West,
Calne,North Wiltshire,"51.434822,-2.002771",Independent,Wiltshire,South West,
Enfield,Edmonton,"51.62536,-0.081465",IFAN,Greater London,London,
South Sefton,Bootle,"53.457554,-3.004708",Trussell Trust,Merseyside,North West,
Magherafelt,Mid Ulster,"54.7555692,-6.6083896",Trussell Trust,Northern Ireland,Northern Ireland,
East Lothian,East Lothian,"55.944292,-2.953988",Trussell Trust,Scotland,Scotland,
Foyle,Foyle,"55.0165266,-7.3306109",Trussell Trust,Northern Ireland,Northern Ireland,
Welwyn Garden City,Welwyn Hatfield,"51.79011999999999,-0.1861497",Independent,Hertfordshire,East,
Peterborough,Peterborough,"52.5746048,-0.2073072",Trussell Trust,Cambridgeshire,East,"['Tinned Meat', 'Pasta Sauce Ie Pasta Bake And Bolognese Sauces', 'UHT Milk', 'Long Life Fruit Juice', 'Toilet Rolls', 'Tinned Fruit', 'Rice Pudding', 'Toiletries , Deodorant And Shower Gel']"
Warwick District,Warwick and Leamington,"52.2836042,-1.5219195",Trussell Trust,Warwickshire,West Midlands,"['Long Life Fruit Juice', 'Long Life Milk', 'Instant Mash', 'Instant Noodles', 'Jam', 'Tinned Meat Meals', 'Pasta Sauce', 'Deodorants', 'Shampoo', 'Shaving Foam/gel', 'Washing Up Liquid']"
Kirkcaldy,Kirkcaldy and Cowdenbeath,"56.129725,-3.134855",IFAN,Scotland,Scotland,
Dons Local Action Group,Wimbledon,"51.425928,-0.183894",Independent,Greater London,London,
Knowsley,Knowsley,"53.405418,-2.818701",Trussell Trust,Merseyside,North West,
Caring Hands,Mid Worcestershire,"52.092804,-1.949451",IFAN,Gloucestershire,South West,
Weston Favell Centre,Northampton North,"52.257065,-0.833606",Trussell Trust,Northamptonshire,East Midlands,
Ringwood,New Forest West,"50.853809,-1.751582",Trussell Trust,Dorset,South West,
Hastings,Hastings and Rye,"50.886764,0.569875",Trussell Trust,East Sussex,South East,
Otley,Leeds North West,"53.904506,-1.694586",Independent,North Yorkshire,Yorkshire & Humber,
Midlothian,Midlothian,"55.845096,-3.050418",Trussell Trust,Scotland,Scotland,
Farnworth & Kearsley,Bolton South East,"53.551518,-2.394505",Trussell Trust,Greater Manchester,North West,"['Long-life Fruit Juice (1lt Cartons)', 'Pasta/curry Sauce', 'Tinned Fruit', 'Jam', 'Coffee', 'Toothbrushes/ Toothpaste', 'Shower Gel', 'Deodorant']"
Oxford Food Hub,Oxford West and Abingdon,"51.751517,-1.294432",Independent,Oxfordshire,South East,
Wimbledon,Wimbledon,"51.415178,-0.197044",Trussell Trust,Greater London,London,"['Cereal', 'Milk (Long Life UHT)', 'Baked Beans', 'Noodles', 'Rice', 'Ketchup', 'Juice/ Squash', 'Toothpaste']"
Parson Cross,"Sheffield, Brightside and Hillsborough","53.425189,-1.485597",IFAN,South Yorkshire,Yorkshire & Humber,
Leicester South,Harborough,"52.584949,-1.102969",Trussell Trust,Leicestershire,East Midlands,
Tameside East,Stalybridge and Hyde,"53.482703,-2.055475",Trussell Trust,Greater Manchester,North West,
Wigtownshire,Dumfries and Galloway,"54.905145,-5.032601",Trussell Trust,Scotland,Scotland,
Victoria Park,Bristol South,"51.437168,-2.582631",IFAN,Bristol,South West,
Skye,"Ross, Skye and Lochaber","57.413321,-6.195152",IFAN,Scotland,Scotland,
Eastbourne,Eastbourne,"50.792838,0.282815",Trussell Trust,East Sussex,South East,
Newark,Newark,"53.075771,-0.806305",Trussell Trust,Nottinghamshire,East Midlands,
Maidenhead,Maidenhead,"51.521746,-0.7238",IFAN,Berkshire,South East,
Agape Care,South Holland and The Deepings,"52.783915,-0.152706",IFAN,Lincolnshire,Yorkshire & Humber,
Launceston,North Cornwall,"50.640118,-4.359938",Trussell Trust,Cornwall,South West,"['Sugar', 'Jam', 'Sponge Pudding', 'Fruit Juice / Squash', 'Jelly Pots', 'Cereal Bars', 'Deodorant', 'Shampoo & Conditioner', 'Shower Gel', 'Size 6 Nappies']"
Scunthorpe,Scunthorpe,"53.582524,-0.653065",Trussell Trust,Lincolnshire,Yorkshire & Humber,
Bicester,Banbury,"51.899482,-1.153303",Trussell Trust,Oxfordshire,South East,
Haywards Heath,Mid Sussex,"50.9947642,-0.1001568",Trussell Trust,West Sussex,South East,"['Sanitary Towels', 'Washing Powder/liquid', 'Long Life Fruit Juice', 'Washing Up Liquid', 'Shower Gel (For Male & Female)', 'Shampoo/conditioner (For Male & Female)', 'Nappies Size 5 And 5+', 'Tinned Rice Pudding / Custard', 'Tinned Fruit', 'Tinned Vegetables', 'Tinned Meat', 'Tinned Tomatoes', 'Tomato Based Pasta Sauces', 'Longlife Milk', 'Squash', 'Jars Of Instant Coffee', 'Soup', 'Biscuits']"
Micah Liverpool,"Liverpool, Riverside","53.397447,-2.973214",IFAN,Merseyside,North West,
